c1,c2,c3,c4,maxhf
21.16,0.0,8.95,4.55,9.983866800232876
21.16,0.1,8.95,4.55,9.959514842202108
21.16,0.2,8.95,4.55,9.95973233644531
21.16,0.3,8.95,4.55,8.520131694069256
