c0,c1,c2,c3,maxhf
150,0,0,0,10.0
150,0,0,50,10.0
150,0,0,100,10.0
150,0,0,150,10.0
150,0,50,0,8.3194399284667
150,0,50,50,7.668321555676782
150,0,50,100,7.978132608116516
150,0,50,150,7.7922380605455155
150,0,100,0,7.522424859187151
150,0,100,50,7.085463731037617
150,0,100,100,7.123716714298691
150,0,100,150,7.551305470907702
150,0,150,0,7.259561980782755
150,0,150,50,7.7180421281214775
150,0,150,100,7.648326287046875
150,0,150,150,6.775311321592868
150,50,0,0,4.031236265568482
150,50,0,50,3.6125905400332807
150,50,0,100,3.501583815118876
150,50,0,150,3.467272471911567
150,50,50,0,5.994676551743079
150,50,50,50,7.1404460347484005
150,50,50,100,7.862657694982262
150,50,50,150,9.305732158377719
150,50,100,0,5.972331427612296
150,50,100,50,6.017550835468325
150,50,100,100,6.272252498530198
150,50,100,150,7.16467091456273
150,50,150,0,5.787556162492875
150,50,150,50,6.507631532739714
150,50,150,100,7.045167368974207
150,50,150,150,5.892390011240536
150,100,0,0,2.459568350714208
150,100,0,50,2.5622713988824413
150,100,0,100,2.504399588497375
150,100,0,150,2.4900996555892845
150,100,50,0,7.714652905232981
150,100,50,50,5.770964262413245
150,100,50,100,4.891105081898846
150,100,50,150,5.902387965215322
150,100,100,0,5.418211492727795
150,100,100,50,5.196230651404516
150,100,100,100,5.065825393251705
150,100,100,150,5.291139842757042
150,100,150,0,5.364045638907355
150,100,150,50,5.459136505918469
150,100,150,100,5.219088812577213
150,100,150,150,4.7653028765975005
150,150,0,0,2.280030397125306
150,150,0,50,2.3084719125572914
150,150,0,100,2.3473643314603225
150,150,0,150,2.306567378089377
150,150,50,0,3.7509508451230564
150,150,50,50,7.005612101942824
150,150,50,100,5.463416597289321
150,150,50,150,5.781949743532765
150,150,100,0,5.143291099197135
150,150,100,50,5.355012886814104
150,150,100,100,4.376558890444548
150,150,100,150,4.0141630474796255
150,150,150,0,4.827015478444644
150,150,150,50,4.646909998471057
150,150,150,100,5.099080799049106
150,150,150,150,4.90372959726129
